game_id,useful_num,funny_num,user_name,games_owned,reviews_written,recommended,hours_played,review_date,text
1007350.0,0,0,76561198155658553,60,3,1,5.6,"1 December, 2019",各種更新不一樣的角色!!!挺有趣
1007350.0,0,0,76561198153548993,77,2,1,0.4,"1 December, 2019",蚌
1007350.0,0,0,cf40412cf,31,4,1,0.6,"30 November, 2019",期待神人完成劇本
1007350.0,0,0,76561198229928252,75,9,1,0.3,"28 November, 2019","準備好你的右手,無須多言"
1007350.0,0,0,hucktifs,260,19,1,0.2,"28 November, 2019",可惜沒多少作品
1007350.0,0,0,89824878,105,3,1,5.9,"27 November, 2019",不解釋太多，明白的就該明白，特價時入手一定沒問題，總是會用到的。
1007350.0,0,0,76561198799877572,28,1,1,0.6,"27 November, 2019",超好玩的啦!!
1007350.0,0,0,76561198421161403,58,3,1,0.7,"26 November, 2019",弟弟很喜欢
1007350.0,0,0,76561197995071007,334,2,1,0.5,"26 November, 2019",坐等神人出現
1007350.0,0,0,76561198443229966,29,4,1,0.3,"28 October, 2019",去兔子可以找q1789088012
1007350.0,3,1,76561198862445820,23,1,-1,0.2,"3 July, 2019",缺乏製作人才 真的建議有愛才買
1007350.0,0,0,cmcmisgod,109,4,-1,3.8,"29 June, 2019",普
1007350.0,0,0,76561198258956936,37,12,1,0.2,"29 June, 2019",可惜不會弄就當給製作者錢了
1007350.0,0,0,koku5ho,6,3,-1,0.8,"29 June, 2019",反正一包就買了不然真無聊 沒啥好創作適合想把A漫家字幕的人
1007350.0,0,0,mediocrekit,39,2,1,0.2,"29 June, 2019",還在等待
1007350.0,0,0,76561198971820400,9,2,1,4.2,"22 June, 2019",在創意工坊中找不到官方劇本
1007350.0,2,0,RKofevening,59,8,-1,0.3,"9 June, 2019",老實說 不太好用
1007350.0,1,0,76561198447904215,31,31,1,7.7,"2 June, 2019",其實工作坊目前沒啥有可玩性的倒是有些把galgame原封不動搬過來的但是我幹嘛不自己去玩那些galgame就好了...
1007350.0,0,0,adfadqqqe,45,1,-1,0.5,"29 May, 2019",本以為大神做出來的東西 結果一堆智障的作品
1007350.0,0,0,76561198005218115,66,10,1,14.9,"1 March, 2019",畫質 很棒 希望能出艮多 愛死了
1007350.0,0,0,76561198069412175,109,4,-1,3.8,"29 June, 2019",普
1010490.0,0,0,jaster04g9527,293,393,1,1.0,"26 January, 2019",沒玩過大家来找茬類型的遊戲，買來玩玩看。
1014130.0,0,0,Zqao,18,1,1,4.1,"21 November, 2019",strong forever
1017180.0,0,0,zengjunjie59,11,1,1,10.4,"24 November, 2019",暫時來說內容少，遊戲時長大概五六個小時，價格相對起來有點貴。有一個很大的問題，撞車或者顛簸的時候車尾箱的物品會飛出去，要重新整理很麻煩。
1022010.0,1,1,skyIfrit,43,1,1,2.7,"20 February, 2019",挺好玩的，遊戲時常大概2~3小時，最好記住門所需要的鑰匙種類及所在地點，不然會像無頭蒼蠅一直亂跑，Boss一開始覺得很難打，但抓到訣竅就輕鬆多了，希望作者還能有更多這類型的作品。
1022010.0,2,1,76561198863888570,219,17,1,1.6,"19 February, 2019",長得像瑪莉歐的主角~當然跳躍也很滑溜!!採慢慢拿取道具和鑰匙的方式~解鎖各區域~有點小巧思!!反正就是東奔西跑我跳跳跳~哈!!
1025000.0,0,0,76561198272210601,39,7,1,8.4,"6 July, 2019",很漂亮的一個拼圖遊戲  可惜成就不能展示....看成就很美  想展示成就才拼命解的...
1042800.0,0,0,ckrc18kevin,65,2,1,133.3,"11 November, 2019",劇情精彩細緻.身為戰錘粉不可錯過
1042800.0,0,0,kenchen,42,7,1,16.5,"30 October, 2019",翻譯差勁
1042800.0,9,0,kaiju_tankgos,227,49,-1,135.7,"6 September, 2019","Warhammer 40,000: Inquisitor - Martyr和Warhammer 40,000: Inquisitor - Prophecy均為同一款遊戲   擁有Martyr的玩家 創角色才能選十字軍.刺客.靈能者職業擁有Prophecy的玩家 創角色才能選擇機械教職業十字軍.刺客.靈能者此三職業的主線劇情是Martyr的5個章節機械教的主線劇情是Prophecy的4個章節   其他與主線無關的大小支線任務及星圖上隨機生成的任務皆無影響 Prophecy第一章講的是該名機械教主角在執行別的任務的時候誤打誤撞的登上了Martyr主角搭乘的船隻 於是把人家整艘船含船員都NTR走了   同時擁有Martyr和Prophecy的玩家  前3職業解完5個章節後 可以從Prophecy的第二章劇情繼續接下去可以用DLC解決的東西硬是要給你切割成2款遊戲商店頁面.討論區.評論都給你切兩邊補充:Prophecy因為劇情的關係 會有3個審判官陸續上船和主角打招呼之後艦橋上會放一個小天使聲望商店  有每周任務可以衝聲望商店裡也會賣不少好康的  譬如暗橘裝.紅裝 以及暗橘裝.紅裝的製造藍圖.各種材料.各種碎片.各種代碼沒有Prophecy的玩家自然不會有審判官上船打招呼  也不會有這個商店"
1042800.0,8,0,kao75835,133,3,-1,13.1,"1 August, 2019","中文翻譯品質差到不可思議仿造大師這各鳥名稱八成是forge master(鑄造大師)機翻而來然後機械神教被翻成邪教八成是cult直接丟google翻譯撇出這些不談整個遊戲隨處可見口口口的亂碼字型這個不需要會中文也能看出有問題,很顯然沒經過測試然後才完兩個任務而已就已經看到一拖拉庫的對話是完全沒翻譯就丟上來的翻譯完成度非常低技能裝備也是中英混雜基本上他們對於中文在地化是完全沒心的不推薦購買"
1045180.0,0,0,76561198083526681,34,1,-1,0.3,"5 June, 2019",尤如垃圾般的操作
