game_id,useful_num,funny_num,user_name,games_owned,reviews_written,recommended,hours_played,review_date,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,60,3,1,5.6,"1 December, 2019",?車?湔銝?璅??閫!!!?箸?頞?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,77,2,1,0.4,"1 December, 2019",??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,cf40412cf,31,4,1,0.6,"30 November, 2019",??蟡犖摰??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,75,9,1,0.3,"28 November, 2019",皞?憟賭?????⊿?憭?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,hucktifs,260,19,1,0.2,"28 November, 2019",?舀?瘝?撠???,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,89824878,105,3,1,5.9,"27 November, 2019",銝圾?云憭???停閰脫??踝??孵???摰???嚗蜇?舀??典??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,28,1,1,0.6,"27 November, 2019",頞末?拍???!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,58,3,1,0.7,"26 November, 2019",撘?敺?甈?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,334,2,1,0.5,"26 November, 2019",??蟡犖?箇,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,29,4,1,0.3,"28 October, 2019",?餃?摮隞交q1789088012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,3,1,7.65612E+16,23,1,-1,0.2,"3 July, 2019",蝻箔?鋆賭?鈭箸? ??撱箄降???眺,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,cmcmisgod,109,4,-1,3.8,"29 June, 2019",??,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,7.65612E+16,37,12,1,0.2,"29 June, 2019",?舀?銝?撘停?嗥策鋆賭??鈭?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,koku5ho,6,3,-1,0.8,"29 June, 2019",?迤銝?停鞎瑚?銝???瘝憟賢雿??瞍怠振摮??犖,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007350,0,0,mediocrekit,39,2,1,0.2,"29 June, 2019",?蝑?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
